Linka číslo 805002		Uherské Hradiště-Míkovice-Kunovice-Uherské Hradiště																									
Platí od 1. 1. 2021 do 31. 12. 2021																											
Tč			Spoj 1	Spoj 3	Spoj 5	Spoj 201	Spoj 7	Spoj 9	Spoj 11	Spoj 203	Spoj 13	Spoj 15	Spoj 17	Spoj 19	Spoj 21	Spoj 23	Spoj 205	Spoj 25	Spoj 27	Spoj 211	Spoj 29	Spoj 31	Spoj 207	Spoj 33	Spoj 35	Spoj 37	km
			X @	X 29	X	6 + @	X 29	X @	X	6 +	X	X @	X @	X @ 29	X @	X @	6 +	X @	X	6 +	X @ 31	X @ 31	6 + @ 24	X @ 31	X @ 31	X @ 29	
1	Uherské Hradiště,,aut.nádr.	odjezd	6:40	7:10	8:10	8:30	9:10	10:10	11:10	12:00	12:10	13:10	14:10	14:25	15:10	15:25	15:30	15:40	16:10	16:30	17:10	18:10	18:30	19:10	21:00	22:05	0
2	Uherské Hradiště,,B.Němcové		6:42	7:12	8:12	8:32	9:12	10:12	11:12	12:02	12:12	13:12	14:13	14:27	15:13	15:27	15:32	15:42	16:12	16:32	17:12	18:12	18:32	19:12	21:02	22:07	1
3	Uherské Hradiště,,garáže ČSAD		6:44	7:14	8:14	8:34	9:14	10:14	11:14	12:04	12:14	13:14	14:14	14:29	15:16	15:29	15:34	15:44	16:14	16:34	17:14	18:14	18:34	19:14	21:04	22:09	2
4	Uherské Hradiště,Sady,rozc.		6:45	7:15	8:15	8:35	9:15	10:15	11:15	12:05	12:15	13:15	14:15	14:30	15:18	15:30	15:35	15:45	16:15	16:35	17:15	18:15	18:35	19:15	21:05	22:10	2
5	Uherské Hradiště,Sady		6:47	7:17	8:17	8:37	9:17	10:17	11:17	12:07	12:17	13:17	14:17	14:32	15:20	15:32	15:37	15:47	16:17	16:37	17:17	18:17	18:37	19:17	21:07	22:12	3
6	Uherské Hradiště,Sady,Za Kovárnou		6:49	7:19	8:19	8:39	9:19	10:19	11:19	12:09	12:19	13:19	14:18	14:34	15:21	15:34	15:39	15:49	16:19	16:39	17:19	18:19	18:39	19:19	21:09	22:14	4
7	Uherské Hradiště,Vésky,hor.konec		6:51	7:21	8:21	8:41	9:21	10:21	11:21	12:11	12:21	13:21	14:22	14:36	15:23	15:36	15:41	15:51	16:21	16:41	17:21	18:21	18:41	19:21	21:11	22:16	5
8	Uherské Hradiště,Vésky,střed		6:53	7:23	8:23	8:43	9:23	10:23	11:23	12:13	12:23	13:23	14:23	14:38	15:24	15:38	15:43	15:53	16:23	16:43	17:23	18:23	18:43	19:23	21:13	22:18	5
9	Uherské Hradiště,Míkovice,Hlavní		6:55	7:25	8:25	8:45	9:25	10:25	11:25	12:15	12:25	13:25	14:25	14:40	15:28	15:40	15:45	15:55	16:25	16:45	17:25	18:25	18:45	19:25	21:15	22:20	6
10	Kunovice,,koupaliště		6:57	7:27	8:27	8:47	9:27	10:27	11:27	12:17	12:27	13:27	14:27	14:42	15:29	15:42	15:47	15:57	16:27	16:47	17:27	18:27	18:47	19:27	21:17	22:22	7
11	Kunovice,,Lidická		6:59	7:29	8:29	8:49	9:29	10:29	11:29	12:19	12:29	13:29	14:29	14:44	15:31	15:44	15:49	15:59	16:29	16:49	17:29	18:29	18:49	19:29	21:19	22:24	8
12	Kunovice,,Na Rynku		7:01	7:31	8:31	8:51	9:31	10:31	11:31	12:21	12:31	13:31	14:31	14:46	15:33	15:46	15:51	16:01	16:31	16:51	17:31	18:31	18:51	19:31	21:21	22:26	9
13	Kunovice,,rozc.k žel.st.0.5		7:03	7:33	8:33	8:53	9:33	10:33	11:33	12:23	12:33	13:33	14:33	14:48	15:36	15:48	15:53	16:03	16:33	16:53	17:33	18:33	18:53	19:33	21:23	22:27	10
14	Uherské Hradiště,,garáže ČSAD		7:05	7:35	8:35	8:55	9:35	10:35	11:35	12:25	12:35	13:35	14:35	14:50	15:39	15:50	15:55	16:05	16:35	16:55	17:35	18:35	18:55	19:35	21:25	22:28	11
15	Uherské Hradiště,,Smetanovy sady		7:07	7:37	8:37	8:57	9:37	10:37	11:37	12:27	12:37	13:37	14:37	14:52	15:41	15:52	15:57	16:07	16:37	16:57	17:37	18:37	18:57	19:37	21:27	22:29	12
16	Uherské Hradiště,,aut.nádr.	příjezd	7:09	7:39	8:39	8:59	9:39	10:39	11:39	12:29	12:39	13:39	14:40	14:54	15:45	15:54	15:59	16:09	16:40	16:59	17:39	18:39	18:59	19:39	21:29	22:30	13
																											
Přepravu zajišťuje: ČSAD BUS Uherské Hradiště a.s., Malinovského 874, 686 19 Uherské Hradiště, www.csaduh.cz																											
