Linka číslo 805004		Staré Město-Uherské Hradiště,Jarošov																																											
Platí od 1. 1. 2021 do 31. 12. 2021																																													
Tč			Spoj 1	Spoj 3	Spoj 5	Spoj 7	Spoj 9	Spoj 11	Spoj 201	Spoj 13	Spoj 113	Spoj 15	Spoj 203	Spoj 205	Spoj 17	Spoj 19	Spoj 207	Spoj 21	Spoj 23	Spoj 25	Spoj 211	Spoj 27	Spoj 213	Spoj 29	Spoj 129	Spoj 215	Spoj 131	Spoj 31	Spoj 33	Spoj 217	Spoj 35	Spoj 37	Spoj 219	Spoj 39	Spoj 41	Spoj 51	Spoj 43	Spoj 221	Spoj 45	Spoj 47	Spoj 49	Spoj 223	km	km	km
			X @	X 29	X @	X @ 29	X @	X	6 34	X @ 20	X 20	X	6 +	6 +	X	X	6 +	X	X @ 29	X	6 +	X @	6 +	X 29	X 19	6 +	X 20	X @ 29	X @	6 + @	X	X	6 +	X	X	X	X 31	6 + 24	X 31	X @ 31	X 31	6 + 24			
1	Staré Město,,obchodní zóna	odjezd		5:15				6:45				7:35		8:15	8:15		9:25	9:50		11:10			13:10	13:35		13:45						15:05	15:45			16:20		18:10						0	
2	Uherské Hradiště,,aut.nádr.		4:48	5:20	5:35	5:40	6:05	6:50	6:50	7:05	7:10	7:45	7:45	8:20	8:20	9:15	9:30	9:55	10:15	11:15	11:30	13:00	13:15	13:40	13:40	13:50	13:50	14:05	14:15	14:30	14:45	15:15	15:50	15:50	16:15	16:25	17:15	18:15	18:15	19:45	22:05	23:00	0	2	0
3	Uherské Hradiště,Štěpnice,Zahradní		<	<	<	<	<	<	<	<	<	<	<			<	<		<	<	<	<	<	<	<		14:00	<	<	<	<	<	<	<	<		<	<	<	<	<	<	<	<	3
4	Uherské Hradiště,Mařatice,Mesit		4:51	5:23	5:39	5:47	6:08	6:55	6:54	7:10	|	7:50	7:50			9:20	9:35		10:20	11:20	11:33	13:05	13:18	13:45	13:45		14:10	14:10	14:20	14:33	14:50	15:20	15:55	15:55	16:20		17:20	18:18	18:18	19:48	22:08	23:03	2	4	6
5	Uherské Hradiště,Mařatice,Jaktáře		4:52	5:24	5:40	5:48	6:09	6:56	6:55	7:11	|	7:51	7:51			9:21	9:36		10:21	11:21	11:34	13:06	13:19	13:46	13:46		14:11	14:11	14:21	14:34	14:51	15:21	15:56	15:56	16:21		17:21	18:19	18:19	19:49	22:09	23:04	3	5	7
6	Uherské Hradiště,Jarošov,U Bagru		4:53	5:26	5:42	5:49	6:11	6:58	6:56	7:13	|	7:53	7:53			9:23	9:38		10:23	11:23	11:36	13:08	13:21	13:48	13:48		14:13	14:13	14:23	14:36	14:53	15:23	15:58	15:58	16:23		17:23	18:21	18:21	19:51	22:11	23:06	3	5	7
7	Uherské Hradiště,Jarošov,pivovar		4:54	5:28	5:43	5:50	6:12	6:59	6:57	7:14	|	7:54	7:54			9:24	9:39		10:24	11:24	11:37	13:09	13:22	13:49	13:49		14:15	14:15	14:25	14:37	14:54	15:24	15:59	15:59	16:24		17:24	18:22	18:22	19:52	22:12	23:07	4	6	8
8	Uherské Hradiště,Jarošov,Louky		<	<	<	<	<	<	<	<	<	<	<			<	<		<	<	<	<	<	<	<		<	<	<	<	<	<	<	<	<		<	<	<	<	<	<	<	<	<
9	Uherské Hradiště,Jarošov,náves	příjezd	4:55	5:30	5:45	5:52	6:14	7:01	6:59	7:16	7:17	7:56	7:56			9:26	9:41		10:26	11:26	11:39	13:11	13:24	13:51	13:51		14:17	14:17	14:27	14:39	14:56	15:26	16:01	16:01	16:26		17:26	18:24	18:24	19:54	22:14	23:09	5	7	9
																																													
Přepravu zajišťuje: ČSAD BUS Uherské Hradiště a.s., Malinovského 874, 686 19 Uherské Hradiště, www.csaduh.cz																																													
