Linka číslo 805004		Staré Město-Uherské Hradiště,Jarošov																																											
Platí od 1. 1. 2021 do 31. 12. 2021		opačný směr																																											
Tč			Spoj 2	Spoj 4	Spoj 6	Spoj 8	Spoj 10	Spoj 202	Spoj 12	Spoj 14	Spoj 114	Spoj 206	Spoj 16	Spoj 208	Spoj 18	Spoj 210	Spoj 20	Spoj 22	Spoj 24	Spoj 212	Spoj 214	Spoj 26	Spoj 216	Spoj 28	Spoj 128	Spoj 130	Spoj 30	Spoj 32	Spoj 218	Spoj 34	Spoj 36	Spoj 220	Spoj 38	Spoj 222	Spoj 40	Spoj 42	Spoj 224	Spoj 44	Spoj 226	Spoj 46	Spoj 48	Spoj 228	km	km	km
			X	X 29	X	X 29	X	6 34	X	X 20	X 20	6 +	X	6 +	X	6 +	X 29	X	X	6 +	6 +	X	6 +	X 29	X 19	X 20	X 29	X	6 +	X	X	6 +	X	6 +	X	X 31	6 + 24	X 31	6 + 24	X 31	X 31	6 + 24			
9	Uherské Hradiště,Jarošov,náves	odjezd	4:55	5:30	5:45	5:52	6:14	6:59	7:01	7:16	7:20	7:56	7:56		9:26	9:41	10:26		11:26	11:41		13:11	13:24	13:46	13:51	14:17	14:17	14:27	14:41	14:56	15:26		16:01	16:06	16:26	17:26		18:24	18:24	19:54	22:14	23:10	0		0
8	Uherské Hradiště,Jarošov,Louky		4:58	5:32	5:47	5:55	6:17	7:01	7:03	7:18	7:22	7:58	7:59		9:28	9:43	10:28		11:28	11:43		13:13	13:26	13:48	13:53	14:19	14:19	14:29	14:43	14:58	15:28		16:03	16:08	16:28	17:28		18:26	18:26	19:56	22:16	23:12	1		1
7	Uherské Hradiště,Jarošov,pivovar		4:59	5:34	5:49	5:57	6:18	7:03	7:06	7:20	7:24	8:00	8:01		9:30	9:44	10:30		11:30	11:45		13:15	13:28	13:50	13:55	|	14:21	14:30	14:45	14:59	15:30		16:05	16:10	16:30	17:30		18:28	18:28	19:58	22:18	23:14	2		2
6	Uherské Hradiště,Jarošov,U Bagru		5:00	5:35	5:50	5:58	6:19	7:04	7:07	7:21	7:25	8:01	8:02		9:31	9:45	10:31		11:31	11:46		13:16	13:29	13:51	13:56	|	14:22	14:31	14:46	15:00	15:31		16:06	16:11	16:31	17:31		18:29	18:29	19:59	22:19	23:15	3		3
5	Uherské Hradiště,Mařatice,Jaktáře		5:01	5:36	5:51	5:59	6:20	7:05	7:08	7:22	7:26	8:02	8:03		9:32	9:46	10:32		11:32	11:47		13:17	13:30	13:52	13:57	|	14:23	14:33	14:47	15:01	15:32		16:07	16:12	16:32	17:32		18:30	18:30	20:00	22:20	23:16	3		3
4	Uherské Hradiště,Mařatice,Mesit		5:03	5:39	5:53	6:00	6:22	7:06	7:10	7:24	7:28	8:03	8:05		9:34	9:47	10:34		11:34	11:49		13:19	13:32	13:54	13:59	|	14:25	14:38	14:49	15:03	15:34		16:09	16:14	16:34	17:34		18:32	18:32	20:02	22:22	23:18	4		4
3	Uherské Hradiště,Štěpnice,Zahradní		<	<	<	<	<	<	<	<	7:35	<	<		<	<	<		<	<		<	<	<	<	<	<	<	<	<	<		<	<	<	<		<	<	<	<	<	<		7
2	Uherské Hradiště,,aut.nádr.		5:07	5:43	5:58	6:05	6:27	7:10	7:14	7:29	7:45	8:06	8:10	9:20	9:39	9:50	10:39	11:05	11:39	11:54	13:05	13:24	13:35	13:59	14:04	14:25	14:30	14:43	14:54	15:07	15:39	15:40	16:14	16:19	16:39	17:39	18:05	18:35	18:35	20:05	22:25	23:20	6	0	10
1	Staré Město,,obchodní zóna	příjezd	5:12				6:32		7:20			8:10	8:14	9:24	9:43			11:09			13:09	13:29	13:40					14:48				15:44	16:19				18:09						8	2	
																																													
Přepravu zajišťuje: ČSAD BUS Uherské Hradiště a.s., Malinovského 874, 686 19 Uherské Hradiště, www.csaduh.cz																																													
