Linka číslo 805006		Uherské Hradiště-Kunovice-Míkovice-Uherské Hradiště																					
Platí od 1. 1. 2021 do 31. 12. 2021																							
Tč			Spoj 1	Spoj 3	Spoj 201	Spoj 5	Spoj 7	Spoj 9	Spoj 11	Spoj 203	Spoj 13	Spoj 205	Spoj 15	Spoj 17	Spoj 19	Spoj 207	Spoj 21	Spoj 23	Spoj 25	Spoj 211	Spoj 27	Spoj 29	km
			X @	X	6 +	X @	X @	X @	X @	6 +	X @	6 +	X 29	X	X 29	6 + @	X @	X @	X	6 + @ 24	X 29	X @ 29	
1	Uherské Hradiště,,aut.nádr.	odjezd	5:10	5:40	6:10	6:10	6:55	7:40	8:40	9:30	9:40	10:30	10:40	11:40	12:40	13:30	13:40	14:40	16:40	17:30	17:40	20:10	0
2	Uherské Hradiště,,B.Němcové		5:12	5:42	6:12	6:12	6:58	7:42	8:42	9:32	9:43	10:32	10:42	11:42	12:42	13:32	13:42	14:42	16:42	17:32	17:42	20:12	1
3	Uherské Hradiště,,garáže ČSAD		5:14	5:44	6:14	6:14	7:01	7:45	8:45	9:34	9:46	10:35	10:45	11:45	12:45	13:35	13:45	14:45	16:45	17:35	17:45	20:15	2
4	Kunovice,,rozc.k žel.st.0.5		5:16	5:45	6:15	6:15	7:02	7:47	8:47	9:35	9:48	10:37	10:47	11:47	12:47	13:37	13:47	14:47	16:47	17:37	17:47	20:17	3
5	Kunovice,,Na Rynku		5:17	5:47	6:17	6:17	7:04	7:49	8:49	9:37	9:49	10:39	10:49	11:49	12:49	13:39	13:49	14:49	16:49	17:39	17:49	20:19	4
6	Kunovice,,Lidická		5:19	5:49	6:19	6:19	7:07	7:51	8:51	9:39	9:52	10:41	10:51	11:51	12:51	13:41	13:51	14:51	16:51	17:41	17:51	20:21	5
7	Kunovice,,koupaliště		5:22	5:52	6:21	6:22	7:09	7:53	8:53	9:41	9:54	10:43	10:53	11:53	12:53	13:43	13:53	14:53	16:53	17:43	17:53	20:23	6
8	Uherské Hradiště,Míkovice,Hlavní		5:24	5:55	6:23	6:25	7:12	7:55	8:55	9:43	9:57	10:45	10:55	11:55	12:55	13:45	13:55	14:55	16:55	17:45	17:55	20:25	7
9	Uherské Hradiště,Vésky,střed		5:26	5:57	6:25	6:27	7:15	7:57	8:57	9:45	10:00	10:47	10:57	11:57	12:57	13:47	13:57	14:57	16:57	17:47	17:57	20:27	8
10	Uherské Hradiště,Vésky,hor.konec		5:28	5:58	6:26	6:28	7:17	7:58	8:58	9:46	10:01	10:48	10:58	11:58	12:58	13:48	13:58	14:58	16:58	17:48	17:58	20:28	8
11	Uherské Hradiště,Sady,Za Kovárnou		5:30	6:00	6:28	6:30	7:19	8:00	9:00	9:48	10:03	10:50	11:00	12:00	13:00	13:50	14:00	15:00	17:00	17:50	18:00	20:30	9
12	Uherské Hradiště,Sady		5:32	6:02	6:30	6:32	7:21	8:02	9:02	9:50	10:05	10:52	11:02	12:02	13:02	13:52	14:02	15:02	17:02	17:52	18:02	20:32	10
13	Uherské Hradiště,Sady,rozc.		5:33	6:04	6:32	6:33	7:23	8:04	9:04	9:52	10:07	10:54	11:04	12:04	13:04	13:54	14:04	15:04	17:04	17:54	18:04	20:34	11
14	Uherské Hradiště,,garáže ČSAD		5:35	6:05	6:33	6:35	7:25	8:05	9:05	9:53	10:09	10:55	11:05	12:05	13:05	13:55	14:05	15:05	17:05	17:55	18:05	20:35	11
15	Uherské Hradiště,,Smetanovy sady		5:36	6:07	6:35	6:36	7:27	8:07	9:07	9:55	10:10	10:57	11:07	12:07	13:07	13:57	14:07	15:07	17:07	17:57	18:07	20:37	12
16	Uherské Hradiště,,aut.nádr.	příjezd	5:39	6:10	6:40	6:39	7:30	8:10	9:10	10:00	10:13	11:00	11:10	12:10	13:10	14:00	14:10	15:10	17:10	18:00	18:10	20:40	13
																							
Přepravu zajišťuje: ČSAD BUS Uherské Hradiště a.s., Malinovského 874, 686 19 Uherské Hradiště, www.csaduh.cz																							
