Linka číslo 805008		Mařatice, hřbitov točna-sídl. Východ-aut.nádr.-žel.st.-nemocnice-Štěpnice,U Olšávky 																									
Platí od 1. 1. 2021 do 31. 12. 2021																											
Tč			Spoj 25	Spoj 27	Spoj 1	Spoj 3	Spoj 5	Spoj 7	Spoj 221	Spoj 9	Spoj 223	Spoj 225	Spoj 29	Spoj 11	Spoj 13	Spoj 227	Spoj 15	Spoj 17	Spoj 229	Spoj 231	Spoj 19	Spoj 233	Spoj 21	Spoj 23	km	km	km
			X @	X @	X @	X @	X @	X @	6 + @	X @	6 + @	6 + @	X @	X @	X @	6 + @	X @	X @	6 + @	6 + @	X @	6 + @ 24	X @	X @ 31			
1	Uherské Hradiště,Mařatice,hřbitov točna	odjezd				7:09	8:09	9:09	9:09	10:09	10:09	11:09	11:09	12:09	13:09	14:09	14:09	15:09	15:09	16:09	16:09	17:09	17:09	18:09		0	
2	Uherské Hradiště,Mařatice,hřbitov					7:10	8:10	9:10	9:10	10:10	10:10	11:10	11:10	12:10	13:10	14:10	14:10	15:10	15:10	16:10	16:10	17:10	17:10	18:10		1	
3	Uherské Hradiště,Mařatice,hor.konec					|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|		1	
4	Uherské Hradiště,Mařatice,R.Kubíčka		5:00	5:35	6:12	7:12	8:12	9:12	9:12	10:12	10:12	11:12	11:12	12:12	13:12	14:12	14:12	15:12	15:12	16:12	16:12	17:12	17:12	18:12	0	1	0
5	Uherské Hradiště,Mařatice,Derflanská		5:01	5:36	6:13	7:13	8:13	9:13	9:13	10:13	10:13	11:13	11:13	12:13	13:13	14:13	14:13	15:13	15:13	16:13	16:13	17:13	17:13	18:13	1	2	1
6	Uherské Hradiště,Mařatice,ZŠ Větrná		5:02	5:37	6:14	7:14	8:14	9:14	9:14	10:14	10:14	11:14	11:14	12:14	13:14	14:14	14:14	15:14	15:14	16:14	16:14	17:14	17:14	18:14	1	2	1
7	Uherské Hradiště,Mařatice,Derflanská		<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<
8	Uherské Hradiště,Mařatice,R.Kubíčka		<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<
9	Uherské Hradiště,Mařatice,hor.konec		5:03	5:38	6:16	7:16	8:16	9:16	9:16	10:16	10:16	11:16	11:16	12:16	13:16	14:16	14:16	15:16	15:16	16:16	16:16	17:16	17:16	18:16	2	3	2
10	Uherské Hradiště,Mařatice,škola		5:04	5:39	6:17	7:17	8:17	9:17	9:17	10:17	10:17	11:17	11:17	12:17	13:17	14:17	14:17	15:17	15:17	16:17	16:17	17:17	17:17	18:17	2	3	2
11	Uherské Hradiště,Mařatice,dol.konec		5:05	5:40	6:18	|	8:18	9:18	9:18	10:18	10:18	11:18	11:18	12:18	13:18	14:18	14:18	15:18	15:18	16:18	16:18	17:18	17:18	18:18	3	4	3
12	Uherské Hradiště,,aut.nádr.		5:08	5:45	6:25	7:25	8:25	9:25	9:25	10:25	10:25	11:25	11:25	12:25	13:25	14:25	14:25	15:25	15:25	16:25	16:25	17:25	17:25	18:25	4	5	4
13	Uherské Hradiště,,Jiřího z Poděbrad			5:47	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	5
14	Uherské Hradiště,,Svatojiřské nábřeží			<	6:28	7:28	8:28	9:28	9:28	10:28	10:28	11:28	11:28	12:28	13:28	14:28	14:28	15:28	15:28	16:28	16:28	17:28	17:28	18:28	5	6	<
15	Uherské Hradiště,,Stará Tenice			<	6:29	7:29	8:29	9:29	9:29	10:29	10:29	11:29	11:29	12:29	13:29	14:29	14:29	15:29	15:29	16:29	16:29	17:29	17:29	18:29	5	6	<
16	Uherské Hradiště,,žel.st.			<	6:30	7:30	8:30	9:30	9:30	10:30	10:30	11:30	11:30	12:30	13:30	14:30	14:30	15:30	15:30	16:30	16:30	17:30	17:30	18:30	6	7	<
17	Uherské Hradiště,,Purkyňova			5:48	6:32	7:32	8:32	9:32	9:32	10:32	10:32	11:32	11:32	12:32	13:32	14:32	14:32	15:32	15:32	16:32	16:32	17:32	17:32	18:32	7	8	6
18	Uherské Hradiště,,nemocnice			5:50	6:34	7:34	8:34	9:34	9:34	10:34	10:34	11:34	11:34	12:34	13:34	14:34	14:34	15:34	15:34	16:34	16:34	17:34	17:34	18:34	7	8	6
19	Uherské Hradiště,Štěpnice,Zahradní				6:36	7:36	8:36	9:36	9:36	10:36	10:36	11:36	11:36	12:36	13:36	14:36	14:36	15:36	15:36	16:36	16:36	17:36	17:36	18:36	7	8	
20	Uherské Hradiště,Štěpnice,Zahrádky				<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	
21	Uherské Hradiště,Štěpnice,U Olšávky	příjezd			6:38	7:38	8:38	9:38	9:38	10:38	10:38	11:38	11:38	12:38	13:38	14:38	14:38	15:38	15:38	16:38	16:38	17:38	17:38	18:38	8	9	
